Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DOW,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,VZ,V,WMT,WBA,DIS
2019-07-02,169.42770385742188,123.1218032836914,200.88136291503906,347.85205078125,131.62115478515625,119.099853515625,54.12820816040039,50.77482223510742,47.19245529174805,72.85295104980469,202.3106689453125,206.1578826904297,135.55384826660156,47.30271530151367,137.15757751464844,110.24134063720703,205.8618621826172,83.67572021484375,135.29551696777344,84.28668212890625,42.952030181884766,109.40982055664062,81.75666046142578,150.09921264648438,240.8516387939453,55.74667739868164,174.48207092285156,110.0704116821289,53.59017562866211,140.80914306640625
2019-07-03,170.36236572265625,124.25716400146484,202.54605102539062,348.156494140625,131.36924743652344,119.50676727294922,55.12371063232422,50.89203643798828,47.12558364868164,73.54569244384766,202.36961364746094,208.0807647705078,136.82992553710938,47.695926666259766,139.22430419921875,110.06573486328125,209.0345458984375,85.03590393066406,136.16725158691406,85.5168685913086,43.12686538696289,111.96153259277344,82.4010009765625,151.54293823242188,242.07582092285156,55.74667739868164,176.06483459472656,110.7805404663086,53.81444549560547,141.2537078857422
2019-07-05,167.4610137939453,123.80301666259766,202.36767578125,349.521728515625,131.27236938476562,119.69085693359375,55.24082946777344,50.90180969238281,47.106475830078125,73.24742126464844,204.1964874267578,207.45289611816406,136.67526245117188,47.263397216796875,137.68650817871094,110.71937561035156,207.49241638183594,83.76378631591797,135.77101135253906,86.13195037841797,42.6606330871582,111.0488052368164,82.11599731445312,151.33668518066406,243.83306884765625,55.9193000793457,175.85580444335938,110.4452133178711,53.81444549560547,141.60162353515625
2019-07-08,164.7251739501953,123.26002502441406,198.19607543945312,344.8661804199219,130.64259338378906,119.74898529052734,54.840675354003906,50.79435729980469,46.351776123046875,73.58418273925781,202.08477783203125,208.8754119873047,135.8922119140625,47.0078125,138.07830810546875,110.11450958251953,208.39608764648438,82.23725128173828,135.6719512939453,87.77880096435547,42.058406829833984,111.93209075927734,81.08134460449219,151.0518798828125,244.67218017578125,55.516517639160156,175.387939453125,111.17506408691406,54.048465728759766,140.18014526367188
2019-07-09,161.3272705078125,124.2966537475586,199.40496826171875,346.8011169433594,130.10972595214844,119.50676727294922,54.98707580566406,50.393863677978516,45.73081970214844,73.53606414794922,204.06881713867188,207.98265075683594,134.69346618652344,46.939002990722656,138.50929260253906,110.58279418945312,208.32733154296875,83.03966522216797,135.17666625976562,87.34227752685547,42.12640380859375,110.81326293945312,80.7839584350586,150.70811462402344,242.855712890625,54.66614532470703,176.92091369628906,111.33287048339844,54.11671829223633,140.76663208007812
2019-07-10,161.3272705078125,125.2740478515625,201.37681579589844,346.025146484375,128.51107788085938,121.53166198730469,55.75810623168945,50.618534088134766,45.42512512207031,74.57518005371094,202.3008575439453,206.75633239746094,135.7955322265625,47.39118957519531,138.31338500976562,110.26084899902344,209.22119140625,83.00051879882812,136.55360412597656,86.74703979492188,42.7966194152832,111.63765716552734,80.82112884521484,150.59027099609375,244.3167724609375,55.23790740966797,178.49374389648438,111.43150329589844,54.184974670410156,142.6851348876953
2019-07-11,164.57911682128906,125.6590805053711,199.91030883789062,352.6058349609375,129.79000854492188,121.52197265625,55.92402267456055,50.833431243896484,45.64484405517578,74.63290405273438,207.58502197265625,209.98397827148438,136.53993225097656,47.774566650390625,137.23594665527344,111.31448364257812,208.91668701171875,79.26245880126953,137.09840393066406,87.59030151367188,41.74758529663086,112.25595092773438,81.3725357055664,149.7063446044922,257.8219299316406,55.160377502441406,179.917236328125,112.3586196899414,54.233726501464844,142.70501708984375
2019-07-12,168.76564025878906,126.33041381835938,201.44618225097656,358.8230895996094,134.0530242919922,122.05484008789062,56.558414459228516,50.91157531738281,47.48859786987305,74.69063568115234,210.12889099121094,214.09458923339844,137.99000549316406,49.072147369384766,131.5451202392578,112.48518371582031,209.21136474609375,78.01970672607422,137.5937042236328,88.41372680664062,41.18421936035156,112.85462951660156,82.84707641601562,150.64918518066406,262.5013427734375,55.42203140258789,179.5090789794922,113.029296875,54.350738525390625,144.0171661376953
2019-07-15,168.27883911132812,126.93266296386719,203.33876037597656,355.1693420410156,135.29318237304688,121.80293273925781,56.65601348876953,50.92134475708008,48.65407943725586,74.16145324707031,207.8109130859375,214.5556640625,138.5507049560547,49.26874923706055,131.94671630859375,111.1193618774414,210.40972900390625,79.22332000732422,137.5937042236328,88.7708740234375,41.5241813659668,113.33553314208984,82.54348754882812,152.0634765625,262.56060791015625,55.79997634887695,179.74801635742188,113.40409088134766,54.49699783325195,144.19607543945312
2019-07-16,171.83251953125,126.42914581298828,202.63522338867188,356.2890319824219,134.7602996826172,120.87284088134766,56.23633575439453,50.93111038208008,49.98196029663086,73.05500030517578,211.68075561523438,213.14297485351562,138.7537078857422,48.33488082885742,129.78204345703125,112.30958557128906,209.92840576171875,79.83979797363281,135.7908172607422,87.89784240722656,41.62131118774414,113.7379150390625,82.51871490478516,151.8277587890625,261.2772216796875,55.63523483276367,178.49374389648438,113.1871109008789,54.41899490356445,143.44061279296875
